"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 03월 27일","1,717.73","1,756.07","1,759.05","1,668.21","1.08B","1.87%"
"2020년 03월 26일","1,686.24","1,699.11","1,735.75","1,679.23","992.47M","-1.09%"
"2020년 03월 25일","1,704.76","1,668.19","1,707.64","1,645.28","872.81M","5.89%"
"2020년 03월 24일","1,609.97","1,523.69","1,609.97","1,508.68","679.29M","8.60%"
"2020년 03월 23일","1,482.46","1,474.45","1,516.75","1,458.41","647.53M","-5.34%"
"2020년 03월 20일","1,566.15","1,498.49","1,566.82","1,466.48","817.02M","7.44%"
"2020년 03월 19일","1,457.64","1,626.09","1,626.09","1,439.43","977.67M","-8.39%"
"2020년 03월 18일","1,591.20","1,686.12","1,693.95","1,591.12","728.01M","-4.86%"
"2020년 03월 17일","1,672.44","1,640.84","1,722.97","1,637.88","649.78M","-2.47%"
"2020년 03월 16일","1,714.86","1,805.43","1,805.43","1,714.38","682.00M","-3.19%"
"2020년 03월 13일","1,771.44","1,722.68","1,809.31","1,680.60","1.04B","-3.43%"
"2020년 03월 12일","1,834.33","1,887.97","1,897.23","1,808.56","850.34M","-3.87%"
"2020년 03월 11일","1,908.27","1,965.67","1,967.70","1,898.27","679.72M","-2.78%"
"2020년 03월 10일","1,962.93","1,942.85","1,968.17","1,934.72","638.56M","0.42%"
"2020년 03월 09일","1,954.77","1,981.02","1,989.50","1,946.90","666.87M","-4.19%"
"2020년 03월 06일","2,040.22","2,053.09","2,062.57","2,032.13","865.59M","-2.16%"
"2020년 03월 05일","2,085.26","2,078.11","2,089.08","2,059.99","675.20M","1.26%"
"2020년 03월 04일","2,059.33","2,005.81","2,063.59","2,005.81","606.29M","2.24%"
"2020년 03월 03일","2,014.15","2,051.85","2,051.85","2,009.39","615.69M","0.58%"
"2020년 03월 02일","2,002.51","1,997.03","2,017.07","1,969.34","528.10M","0.78%"
"2020년 02월 28일","1,987.01","2,020.17","2,031.01","1,980.82","671.55M","-3.30%"
"2020년 02월 27일","2,054.89","2,073.87","2,085.40","2,049.15","562.77M","-1.05%"
"2020년 02월 26일","2,076.77","2,064.07","2,089.64","2,059.13","810.94M","-1.28%"
"2020년 02월 25일","2,103.61","2,075.55","2,105.49","2,071.50","1.57B","1.18%"
"2020년 02월 24일","2,079.04","2,114.04","2,120.06","2,079.03","948.62M","-3.87%"
"2020년 02월 21일","2,162.84","2,165.65","2,184.43","2,160.28","635.47M","-1.49%"
"2020년 02월 20일","2,195.50","2,223.55","2,228.18","2,186.72","709.56M","-0.67%"
"2020년 02월 19일","2,210.34","2,222.51","2,226.00","2,191.20","591.16M","0.07%"
"2020년 02월 18일","2,208.88","2,225.98","2,232.93","2,205.21","470.42M","-1.48%"
"2020년 02월 17일","2,242.17","2,243.07","2,250.05","2,230.26","458.25M","-0.06%"
"2020년 02월 14일","2,243.59","2,232.71","2,251.50","2,221.90","597.22M","0.48%"
"2020년 02월 13일","2,232.96","2,245.72","2,255.49","2,230.30","638.67M","-0.24%"
"2020년 02월 12일","2,238.38","2,225.95","2,242.24","2,214.77","632.46M","0.69%"
"2020년 02월 11일","2,223.12","2,213.50","2,233.32","2,211.25","526.21M","1.00%"
"2020년 02월 10일","2,201.07","2,185.63","2,203.39","2,180.51","609.57M","-0.49%"
"2020년 02월 07일","2,211.95","2,221.49","2,223.92","2,198.14","800.34M","-0.72%"
"2020년 02월 06일","2,227.94","2,184.77","2,229.99","2,182.25","695.22M","2.88%"
"2020년 02월 05일","2,165.63","2,177.26","2,181.52","2,154.88","574.40M","0.36%"
"2020년 02월 04일","2,157.90","2,121.22","2,162.32","2,120.53","624.64M","1.84%"
"2020년 02월 03일","2,118.88","2,086.61","2,126.73","2,082.74","836.70M","-0.01%"
"2020년 01월 31일","2,119.01","2,160.60","2,167.23","2,119.01","710.51M","-1.35%"
"2020년 01월 30일","2,148.00","2,181.54","2,187.45","2,139.72","602.84M","-1.71%"
"2020년 01월 29일","2,185.28","2,188.18","2,195.45","2,172.33","692.30M","0.39%"
"2020년 01월 28일","2,176.72","2,192.22","2,199.93","2,166.23","808.88M","-3.09%"
"2020년 01월 23일","2,246.13","2,254.54","2,260.63","2,241.94","509.61M","-0.93%"
"2020년 01월 22일","2,267.25","2,238.53","2,269.27","2,235.13","608.51M","1.23%"
"2020년 01월 21일","2,239.69","2,259.81","2,266.31","2,238.25","770.32M","-1.01%"
"2020년 01월 20일","2,262.64","2,261.40","2,277.23","2,258.09","545.49M","0.54%"
"2020년 01월 17일","2,250.57","2,261.57","2,268.71","2,245.58","580.82M","0.11%"
"2020년 01월 16일","2,248.05","2,231.93","2,249.09","2,225.41","808.33M","0.77%"
"2020년 01월 15일","2,230.98","2,229.80","2,238.21","2,223.39","746.16M","-0.35%"
"2020년 01월 14일","2,238.88","2,243.06","2,250.79","2,232.94","835.90M","0.43%"
"2020년 01월 13일","2,229.26","2,204.49","2,230.43","2,204.49","488.29M","1.04%"
"2020년 01월 10일","2,206.39","2,189.48","2,206.92","2,188.10","594.54M","0.91%"
"2020년 01월 09일","2,186.45","2,182.20","2,186.45","2,172.16","592.60M","1.63%"
"2020년 01월 08일","2,151.31","2,156.27","2,162.32","2,137.72","913.83M","-1.11%"
"2020년 01월 07일","2,175.54","2,166.60","2,181.62","2,164.27","568.24M","0.95%"
"2020년 01월 06일","2,155.07","2,154.97","2,164.42","2,149.95","592.67M","-0.98%"
"2020년 01월 03일","2,176.46","2,192.58","2,203.38","2,165.39","631.56M","0.06%"
"2020년 01월 02일","2,175.17","2,201.21","2,202.32","2,171.84","494.68M","-1.02%"
"2019년 12월 30일","2,197.67","2,202.62","2,208.04","2,195.65","416.40M","-0.30%"
"2019년 12월 27일","2,204.21","2,183.70","2,215.55","2,177.40","490.17M","0.29%"
"2019년 12월 26일","2,197.93","2,192.22","2,198.01","2,183.90","571.31M","0.36%"
"2019년 12월 24일","2,190.08","2,206.23","2,206.23","2,187.58","569.97M","-0.62%"
"2019년 12월 23일","2,203.71","2,208.22","2,209.20","2,196.43","502.03M","-0.02%"
"2019년 12월 20일","2,204.18","2,205.57","2,206.82","2,194.80","646.68M","0.35%"
"2019년 12월 19일","2,196.56","2,199.42","2,204.73","2,186.59","643.14M","0.08%"
"2019년 12월 18일","2,194.76","2,194.92","2,204.04","2,187.32","591.11M","-0.04%"
"2019년 12월 17일","2,195.68","2,179.40","2,196.01","2,171.09","599.53M","1.27%"
"2019년 12월 16일","2,168.15","2,168.05","2,175.01","2,166.29","377.05M","-0.10%"
"2019년 12월 13일","2,170.25","2,164.63","2,170.25","2,159.45","540.03M","1.54%"
"2019년 12월 12일","2,137.35","2,120.13","2,138.93","2,120.13","584.64M","1.51%"
