날짜,뉴스_변동성_전체,뉴스_변동성_크기,뉴스_변동성_방향
2021.01.27.,0.5897268222209453,1.8095238095238095,4.166666666666667
2021.01.26.,0.5726479922257781,8.0625,24.75
2021.01.25.,0.6136832537966143,2.097560975609756,1.8333333333333333
2021.01.24.,0.11962439726446075,1.4242424242424243,2.375
2021.01.23.,1.0,1.1627906976744187,1.6956521739130435
2021.01.22.,0.4609496443059944,1.3478260869565217,1.7322834645669292
2021.01.21.,0.3948221274528858,1.584070796460177,3.263157894736842
2021.01.20.,0.7200910790456883,-3.0508474576271185,10.3
2021.01.19.,0.04069117231027439,3.914285714285714,7.8
2021.01.18.,0.5802826363459198,3.422222222222222,2.3857142857142857
2021.01.17.,0.09383065260274949,1.3888888888888888,-3.2857142857142856
2021.01.16.,0.9451515671794916,1.1818181818181819,11.0
2021.01.15.,0.6325440679500501,1.3867924528301887,4.4
2021.01.14.,0.4884168276662676,1.6149425287356323,3.627450980392157
2021.01.13.,0.32347648224439995,1.2311827956989247,3.422222222222222
2021.01.12.,0.1417907135848544,1.3111888111888113,-6.451612903225806
2021.01.11.,0.24140624236033587,1.3872832369942196,3.5
2021.01.10.,0.31267777574965083,1.5245901639344261,-2.227272727272727
2021.01.09.,0.00020192412839712992,1.40625,-0.9166666666666666
2021.01.08.,0.6537842490823081,1.1096774193548387,3.219298245614035
2021.01.07.,0.5467233985915296,1.324742268041237,2.62
2021.01.06.,0.8640026551548922,2.358490566037736,2.2448979591836733
2021.01.05.,0.4910539061296684,1.644859813084112,2.7115384615384617
2021.01.04.,0.8702976641562162,1.539568345323741,3.239130434782609
2021.01.03.,0.9563213028993289,1.0833333333333333,1.235632183908046
2021.01.02.,0.9336887015402308,1.173913043478261,2.1875
2021.01.01.,0.8857043666316416,1.625,1.9230769230769231
2020.12.31.,0.7206826434958489,1.4586776859504131,-4.921052631578948
2020.12.30.,0.5998910286817581,1.4210526315789473,1.4375
2020.12.29.,0.3263491905487413,1.6216216216216217,5.833333333333333
2020.12.28.,0.9107455745823257,1.4390243902439024,1.875
2020.12.27.,0.9425960892595895,1.2133333333333334,1.3814432989690721
2020.12.26.,1.0,1.1923076923076923,-8.5
2020.12.25.,0.8825756995290159,1.4193548387096775,2.0
2020.12.24.,0.2960743452593983,2.9565217391304346,2.2222222222222223
2020.12.23.,0.3330470787163253,1.9887640449438202,1.9382716049382716
2020.12.22.,0.217497925948644,1.1746794871794872,-0.8920454545454546
2020.12.21.,0.7769439373468231,1.2521891418563922,-0.9230769230769231
2020.12.20.,0.8798705103004033,6.0,
2020.12.19.,1.0,1.0740740740740742,1.3125
2020.12.18.,0.8460421820447503,1.3333333333333333,1.9318181818181819
2020.12.17.,0.9588935131417995,1.1888111888111887,1.3203883495145632
2020.12.16.,0.3678229537869181,1.4366197183098592,1.891304347826087
2020.12.15.,0.13133500251719513,2.617021276595745,4.826086956521739
2020.12.14.,0.7210264624988242,1.8,1.6666666666666667
2020.12.13.,0.4741645696880471,2.5,1.7272727272727273
2020.12.12.,1.0,1.2307692307692308,1.8333333333333333
2020.12.11.,-0.14673959983281185,1.5285714285714285,24.0
2020.12.10.,-0.26046468049918386,2.2666666666666666,4.043478260869565
2020.12.09.,-0.03142023608340104,2.4130434782608696,1.620253164556962
2020.12.08.,-0.13108530703370883,1.5454545454545454,-3.310344827586207
2020.12.07.,0.9698411696460227,3.7,-11.5
2020.12.06.,0.6368875740143474,2.590909090909091,1.7741935483870968
2020.12.05.,0.04635893272846039,-1.3333333333333333,1.5
2020.12.04.,0.32614328561963407,1.6931818181818181,-12.0
2020.12.03.,0.6951573357431373,4.588235294117647,1.8048780487804879
2020.12.02.,0.4171854443123629,2.176470588235294,7.571428571428571
2020.12.01.,0.9352657226131331,1.722543352601156,2.447058823529412
2020.11.30.,0.34446642141987643,1.5256410256410255,1.7586206896551724
2020.11.29.,1.0,1.25,1.3333333333333333
2020.11.28.,0.30652065137437545,1.205128205128205,2.888888888888889
2020.11.27.,-0.2583785763101365,2.657142857142857,-8.25
2020.11.26.,-0.47281825651430054,2.004149377593361,-1.4651162790697674
2020.11.25.,0.9264269651502322,1.6777777777777778,1.6973684210526316
2020.11.24.,0.7236068399927166,1.4291497975708503,1.2592592592592593
2020.11.23.,0.7213350547509384,6.2,-24.5
2020.11.22.,0.7312645508825685,1.5263157894736843,-2.625
2020.11.21.,0.9273184662165952,1.5454545454545454,6.8
2020.11.20.,0.6610669237521813,1.4133333333333333,2.40625
2020.11.19.,0.8455573975591931,5.0625,1.6238532110091743
2020.11.18.,0.8943441447549818,1.2735849056603774,1.4620253164556962
2020.11.17.,0.9000677427757953,2.8260869565217392,1.6153846153846154
2020.11.16.,0.6661451955737183,1.8085106382978724,1.588235294117647
2020.11.15.,1.0,-0.6666666666666666,2.0
2020.11.14.,1.0,-0.8571428571428571,-1.25
2020.11.13.,0.6715222405250744,5.25,1.4841269841269842
2020.11.12.,0.9216353645708653,15.5,1.290909090909091
2020.11.11.,0.5589766906469107,4.2727272727272725,1.6388888888888888
2020.11.10.,0.016120492115891095,5.818181818181818,-4.0
2020.11.09.,0.8210193214107475,-1.146067415730337,-0.9387755102040817
2020.11.08.,0.5815329711505967,2.2142857142857144,3.25
2020.11.07.,0.9353820077920643,2.1,-2.0
2020.11.06.,0.8039516198420272,7.117647058823529,29.75
2020.11.05.,0.9717397233368418,1.4411764705882353,1.425
2020.11.04.,0.20243772812266625,2.0377358490566038,2.7209302325581395
2020.11.03.,0.17246843681824303,6.125,1.5263157894736843
2020.11.02.,0.6135114931681495,4.542857142857143,6.666666666666667
2020.11.01.,0.8289589193988756,2.3333333333333335,9.25
2020.10.31.,0.7833939091975315,1.95,1.25
2020.10.30.,0.8818547855852287,5.363636363636363,1.5833333333333333
2020.10.29.,0.2535242365355866,5.318181818181818,2.4745762711864407
2020.10.28.,0.4478531045337116,2.4210526315789473,-91.0
2020.10.27.,0.7157508377487901,2.0217391304347827,2.4
2020.10.26.,0.05106777314899561,1.64,1.8571428571428572
2020.10.25.,1.0,5.0,3.7142857142857144
2020.10.24.,1.0,11.0,1.3846153846153846
