날짜,커뮤니티_변동성_전체,커뮤니티_변동성_크기,커뮤니티_변동성_방향
2021.03.01.,1.0,1.0,-1.0
2021.02.28.,-0.5,1.0,-0.5
2021.02.27.,-0.21666666666666667,1.0,-1.0
2021.02.26.,0.06666666666666667,1.0,-0.2727272727272727
2021.02.25.,-1.0,0.7037037037037037,1.0
2021.02.24.,1.0,0.40740740740740744,1.0
2021.02.23.,-0.03225806451612903,0.1111111111111111,-0.4666666666666667
2021.02.22.,-0.5789473684210527,0.42857142857142855,-0.6363636363636364
2021.02.21.,0.5121951219512195,0.0,0.10344827586206896
2021.02.20.,-0.625,0.5,-0.8461538461538461
2021.02.19.,0.5,-1.0,0.42857142857142855
2021.02.18.,-0.3333333333333333,1.0,0.3333333333333333
2021.02.17.,0.5,1.0,0.5
2021.02.16.,1.0,1.0,0.5
2021.02.15.,-0.2,0.3333333333333333,-0.8888888888888888
2021.02.14.,0.6923076923076923,1.0,0.3333333333333333
2021.02.13.,-1.0,1.0,-1.0
2021.02.12.,0.3333333333333333,1.0,0.6
2021.02.11.,0.125,1.0,0.23076923076923078
2021.02.10.,-0.21428571428571427,0.4,-0.27102803738317754
2021.02.09.,-0.3,0.0,-0.5294117647058824
2021.02.08.,0.85,0.3333333333333333,0.0
2021.02.06.,1.0,0.2777777777777778,1.0
2021.02.05.,0.3333333333333333,0.2222222222222222,1.0
2021.02.04.,-1.0,0.16666666666666666,-0.3333333333333333
2021.02.03.,1.0,0.1111111111111111,0.3333333333333333
2021.02.02.,0.5,0.055555555555555525,0.7142857142857143
2021.02.01.,0.05263157894736842,0.0,0.3333333333333333
2021.01.31.,-0.5555555555555556,1.0,-1.0
2021.01.30.,-0.8095238095238095,-1.0,-0.7333333333333333
2021.01.29.,0.2,-1.0,-0.3333333333333333
2021.01.28.,-0.6666666666666666,-1.0,0.3333333333333333
2021.01.27.,-0.3157894736842105,0.1111111111111111,-0.15151515151515152
2021.01.26.,0.09090909090909091,1.0,-0.23076923076923078
2021.01.25.,-0.3333333333333333,-0.3333333333333333,0.3684210526315789
2021.01.23.,-0.2,0.13333333333333336,0.0
2021.01.22.,0.47058823529411764,0.6,0.07692307692307693
2021.01.21.,-0.3333333333333333,1.0,-0.3333333333333333
2021.01.20.,0.5,1.0,-0.3333333333333333
2021.01.19.,1.0,1.0,1.0
2021.01.18.,-1.0,1.0,1.0
2021.01.17.,-0.2,1.0,-0.5555555555555556
2021.01.16.,-0.5,0.4,0.0
2021.01.15.,-0.7254901960784313,-0.2,-0.6363636363636364
2021.01.14.,1.0,0.39999999999999997,0.5
2021.01.13.,0.75,1.0,-0.25
2021.01.12.,-0.7857142857142857,1.0,-0.375
2021.01.11.,-1.0,0.0,-1.0
2021.01.10.,-1.0,1.0,-1.0
2021.01.09.,-1.0,0.8,-1.0
2021.01.08.,0.3515981735159817,0.6,0.18781725888324874
2021.01.07.,0.2,1.0,-0.3333333333333333
2021.01.06.,-0.15492957746478872,-0.058823529411764705,-0.08
2021.01.05.,-0.1320754716981132,1.0,0.48936170212765956
2021.01.04.,0.043478260869565216,0.3333333333333333,-0.3
2021.01.03.,0.25,1.0,0.07692307692307693
2021.01.01.,1.0,1.0,0.5
2020.12.31.,-1.0,1.0,0.5
2020.12.30.,0.6,1.0,0.0
2020.12.29.,-0.16666666666666666,0.33333333333333337,0.25
2020.12.28.,1.0,-0.33333333333333326,1.0
2020.12.26.,0.7142857142857143,-1.0,0.42857142857142855
2020.12.25.,0.6,-0.33333333333333337,-1.0
2020.12.24.,0.3384615384615385,0.33333333333333326,-0.75
2020.12.23.,0.07692307692307693,1.0,-0.5
2020.12.21.,-1.0,1.0,-1.0
2020.12.20.,0.0,1.0,-1.0
2020.12.17.,0.5609756097560976,1.0,0.03225806451612903
2020.12.16.,0.2,1.0,0.42857142857142855
2020.12.15.,0.058823529411764705,1.0,0.23076923076923078
2020.12.13.,0.0,0.9487179487179487,0.0
