word,counts
연동,76
발생,76
한국블록체인협회,76
블록체인과,76
1위는,76
랜섬웨어,76
국감,76
최종구,76
민주당,75
해,75
2차,75
안돼,75
수단,75
합류,75
앞둔,75
세미나,75
2배,75
3일,75
고공행진,75
현재,75
12일,75
활동,75
약,74
사용자,74
수준,74
상보,74
있을까,74
발언에,74
적극,74
출렁,74
개인정보,74
4000만원,74
반감기,74
곧,73
제도,73
여전,73
횡보,73
남성,73
리스크,73
주가도,73
벌면,73
공시,73
선임,73
고소,73
코인제스트,73
인더머니,72
사실,72
사고,72
만든,72
1조달러,72
들썩,72
고발,72
알고,72
확장,72
17일,72
시행령,72
관계자,72
STO,72
베네수엘라,72
지지율,71
2위,71
한국은행,71
대체,71
연구,71
28일,71
구성,71
26일,71
원화,71
탈퇴,71
탈중앙화,71
16일,71
확정,71
뚠뚠,71
기자수첩,70
기능,70
악용,70
조국,70
사설,70
위반,70
달,70
연기,70
개막,70
불법행위,70
방안,70
진짜,70
동반,70
대,70
시동,70
통한,70
개발자,70
가즈아,70
가능할까,70
D,70
개미는,70
올해의,70
주장,69
1만,69
10,69
외국인,69
개설,69
상당,69
북,69
근접,69
통화,69
증권형,69
종료,68
잘못된,68
29일,68
심사,68
노린,68
24일,68
비트코인이,68
업무,68
문재인,68
금일,68
않는,68
고팍스,68
없이,67
8%,67
6월,67
줄줄이,67
가능한,67
간,67
2021년,67
주요기사,67
촉구,67
일자리,67
3위,67
상품,67
7000만원,67
모집,67
노홍철,67
헤미넴,67
집,66
인기,66
투,66
이재명,66
을,66
아파트,66
눈,66
넘게,66
비자,66
급등에,66
그,66
조치,66
이시각,66
기부,66
증발,66
10일,66
22일,66
19일,66
2일,66
조주빈에,66
네트워크,65
엔비디아,65
소송,65
7월,65
목소리,65
않아,65
대형,65
도전,65
10배,65
팔아,65
어떤,65
대규모,65
광고,65
보장,65
채굴기,65
6일,65
홍콩,65
신한카드,65
인터폴,65
4대,64
뒤,64
안착,64
급등세,64
요구,64
27일,64
임박,64
과열,64
날개,64
쟁글,64
최저,64
9일,64
지역화폐,64
육성,64
클립,64
제외,64
테더,64
백트,64
산업혁명,64
청년,63
놓고,63
대박,63
차단,63
공동,63
좋은,63
열풍에,63
싶다,63
홈페이지,63
비즈니스,63
재돌파,63
40년,63
금융사고,63
입대,63
검사,62
늘어,62
각국,62
난,62
연장,62
스테이블,62
유동성,62
전략,62
온다,62
실명확인,62
기관,62
월가,62
23일,62
계정,62
차세대,62
치솟는,62
만우절,62
콘텐츠,62
징수,61
기회,61
유튜브,61
아래로,61
너무,61
주도,61
세상,61
기고,61
충격,61
5000만원,61
변화,61
끝,61
돌파한,61
부친,61
버닝썬,61
힘,60
30일,60
한다,60
개당,60
연내,60
1심,60
변호사,60
비트,60
특별단속,60
연,60
프로토콜,60
그룹,60
러시아,60
중요,59
대출,59
비트코인도,59
손,59
10명,59
폐업,59
개정,59
해킹으로,59
전면,59
25일,59
되나,59
부활,59
달라,59
넘어서,59
강남,59
21일,59
8,59
제작,59
재계약,59
고액,58
50%,58
취임,58
공급,58
회사,58
무슨,58
실체,58
불,58
뚫었다,58
기술로,58
범죄단체,58
코인터뷰,58
얼굴,58
5년간,58
지방세,57
발,57
비트코인캐시,57
뚝,57
선물,57
폭발,57
요청,57
맞손,57
소비자,57
사이,57
신뢰,57
포럼,57
비디오,57
13일,57
투기적,57
확진,57
150만원,57
9,57
18일,57
빗썸에,57
음란물,57
특구,56
런칭,56
기재부,56
뉴욕,56
주춤,56
제한,56
하는,56
실패,56
10년,56
2월,56
6%,56
제2의,56
집단감염,56
비대면,56
15%,56
위원장,56
이제,56
보여,56
매출,56
스마트,56
대학,56
CNS,56
장애,56
빼돌린,56
이석우,56
1년새,55
블록체인은,55
에서,55
캐시,55
2만,55
국가,55
숨고르기,55
1월,55
번,55
거래소들,55
징역형,55
1억원,55
1천만원,55
스위스,55
감소,55
하드포크,55
하락이,55
덜미,55
무료,55
베트남,55
G20,55
블록체인밸리,55
정부가,54
높아,54
하루만에,54
다우,54
보는,54
보니,54
오르고,54
캐셔레스트,54
재판,54
목표,54
부인,54
오를까,54
박영선,54
돈스코이,54
대중화,53
文,53
흔들,53
입출금,53
14%,53
단,53
도약,53
낸다,53
P2P,53
해시드,53
벌금,53
람다256,53
50대,53
12월,53
장,52
하나은행,52
IPO,52
차익,52
신종,52
이틀째,52
시간,52
판,52
커,52
투명성,52
같은,52
11,52
반토막,52
3배,52
처음,52
임직원,52
20일,52
재무부,52
클레이,52
2분기,52
