날짜,종가,오픈,고가,저가,변동 %
2020년 06월 11일,"1,206.20","1,190.79","1,208.40","1,188.11",1.29%
2020년 06월 10일,"1,190.79","1,198.52","1,200.79","1,184.24",-0.64%
2020년 06월 09일,"1,198.52","1,195.90","1,202.93","1,194.99",0.21%
2020년 06월 08일,"1,195.96","1,201.85","1,205.56","1,194.25",-0.51%
2020년 06월 05일,"1,202.10","1,216.54","1,218.76","1,200.35",-1.19%
2020년 06월 04일,"1,216.54","1,215.95","1,220.20","1,212.94",0.05%
2020년 06월 03일,"1,215.95","1,220.12","1,220.67","1,214.12",-0.34%
2020년 06월 02일,"1,220.12","1,223.05","1,227.33","1,216.33",-0.24%
2020년 06월 01일,"1,223.05","1,231.47","1,232.19","1,221.74",-0.69%
2020년 05월 29일,"1,231.59","1,238.03","1,240.70","1,230.18",-0.52%
2020년 05월 28일,"1,238.03","1,238.26","1,242.59","1,233.71",-0.02%
2020년 05월 27일,"1,238.26","1,230.99","1,239.51","1,230.43",0.59%
2020년 05월 26일,"1,230.99","1,240.95","1,242.70","1,230.11",-0.80%
2020년 05월 25일,"1,240.95","1,240.56","1,244.89","1,237.61",0.02%
2020년 05월 22일,"1,240.66","1,233.27","1,244.51","1,232.81",0.60%
2020년 05월 21일,"1,233.27","1,227.40","1,234.52","1,226.44",0.48%
2020년 05월 20일,"1,227.40","1,225.18","1,232.70","1,224.17",0.18%
2020년 05월 19일,"1,225.18","1,225.27","1,227.55","1,221.06",-0.01%
2020년 05월 18일,"1,225.27","1,233.09","1,235.04","1,224.44",-0.64%
2020년 05월 15일,"1,233.19","1,227.53","1,235.58","1,226.30",0.46%
2020년 05월 14일,"1,227.53","1,227.51","1,234.03","1,226.12",0.00%
2020년 05월 13일,"1,227.51","1,226.84","1,229.40","1,222.17",0.05%
2020년 05월 12일,"1,226.84","1,223.41","1,228.95","1,220.19",0.28%
2020년 05월 11일,"1,223.41","1,219.70","1,226.18","1,214.18",0.30%
2020년 05월 08일,"1,219.80","1,220.11","1,221.82","1,214.51",-0.03%
2020년 05월 07일,"1,220.11","1,229.60","1,230.06","1,217.08",-0.77%
2020년 05월 06일,"1,229.55","1,222.57","1,230.03","1,220.57",0.57%
2020년 05월 05일,"1,222.57","1,224.18","1,224.82","1,218.20",-0.13%
2020년 05월 04일,"1,224.18","1,224.80","1,230.53","1,223.36",-0.06%
2020년 05월 01일,"1,224.93","1,213.94","1,225.87","1,213.10",0.91%
2020년 04월 30일,"1,213.94","1,211.10","1,215.69","1,203.52",0.23%
2020년 04월 29일,"1,211.10","1,221.81","1,223.45","1,210.42",-0.88%
2020년 04월 28일,"1,221.81","1,222.64","1,227.95","1,216.86",-0.05%
2020년 04월 27일,"1,222.45","1,230.50","1,235.10","1,220.81",-0.66%
2020년 04월 24일,"1,230.62","1,233.54","1,238.24","1,229.93",-0.24%
2020년 04월 23일,"1,233.54","1,234.05","1,237.23","1,227.72",-0.04%
2020년 04월 22일,"1,234.05","1,233.53","1,237.91","1,229.92",0.04%
2020년 04월 21일,"1,233.56","1,220.62","1,241.82","1,220.12",1.06%
2020년 04월 20일,"1,220.62","1,216.26","1,222.63","1,214.71",0.36%
2020년 04월 17일,"1,216.24","1,228.98","1,229.45","1,213.95",-1.04%
2020년 04월 16일,"1,228.98","1,224.72","1,230.53","1,222.94",0.35%
2020년 04월 15일,"1,224.72","1,212.50","1,225.77","1,209.61",1.01%
2020년 04월 14일,"1,212.50","1,215.97","1,219.45","1,211.31",-0.28%
2020년 04월 13일,"1,215.96","1,212.04","1,221.70","1,211.59",0.36%
2020년 04월 10일,"1,211.55","1,211.11","1,216.10","1,206.64",0.04%
2020년 04월 09일,"1,211.08","1,216.26","1,222.36","1,208.67",-0.43%
2020년 04월 08일,"1,216.26","1,215.43","1,223.19","1,214.09",0.07%
2020년 04월 07일,"1,215.43","1,224.64","1,225.56","1,208.79",-0.75%
2020년 04월 06일,"1,224.64","1,236.42","1,239.51","1,223.58",-0.97%
2020년 04월 03일,"1,236.61","1,227.85","1,240.65","1,224.18",0.71%
2020년 04월 02일,"1,227.85","1,236.70","1,243.29","1,225.56",-0.72%
2020년 04월 01일,"1,236.70","1,218.80","1,239.27","1,216.80",1.47%
