날짜,뉴스_변동성_크기,뉴스_변동성_방향
2021.03.03.,1.838235294117647,2.1941747572815533
2021.03.02.,1.5822222222222222,2.369747899159664
2021.03.01.,1.4090909090909092,1.8076923076923077
2021.02.28.,1.626865671641791,-13.8
2021.02.27.,1.8160919540229885,3.0652173913043477
2021.02.26.,1.7037037037037037,4.261904761904762
2021.02.25.,1.4609665427509293,3.5844155844155843
2021.02.24.,1.3408071748878925,2.435
2021.02.23.,1.2493333333333334,2.5104166666666665
2021.02.22.,1.4786821705426356,1.942363112391931
2021.02.21.,1.2876106194690264,1.8222222222222222
2021.02.20.,1.1436781609195403,1.9215686274509804
2021.02.19.,1.3611111111111112,3.1650485436893203
2021.02.18.,1.223728813559322,5.673913043478261
2021.02.17.,1.2802547770700636,1.559718969555035
2021.02.16.,1.2055555555555555,1.8430232558139534
2021.02.15.,1.4263157894736842,5.305555555555555
2021.02.14.,1.5106382978723405,3.75
2021.02.13.,1.9090909090909092,2.1964285714285716
2021.02.12.,2.4390243902439024,25.0
2021.02.11.,1.4666666666666666,8.571428571428571
2021.02.10.,1.355421686746988,2.4814814814814814
2021.02.09.,1.2450090744101634,3.2346368715083798
2021.02.08.,1.7826086956521738,2.158536585365854
2021.02.07.,1.75,1.9210526315789473
2021.02.06.,1.2987012987012987,5.0
2021.02.05.,13.444444444444445,1.8695652173913044
2021.02.04.,-5.8,67.66666666666667
2021.02.03.,1.2548076923076923,5.0
2021.02.02.,1.4732824427480915,1.9772727272727273
2021.02.01.,2.4857142857142858,1.9285714285714286
2021.01.31.,1.6923076923076923,1.4285714285714286
2021.01.30.,1.2413793103448276,1.7857142857142858
2021.01.29.,1.5175438596491229,1.9594594594594594
2021.01.28.,1.6282051282051282,2.75
2021.01.27.,1.8095238095238095,4.166666666666667
2021.01.26.,8.0625,24.75
2021.01.25.,2.097560975609756,1.8333333333333333
2021.01.24.,1.4242424242424243,2.375
2021.01.23.,1.1627906976744187,1.6956521739130435
2021.01.22.,1.3478260869565217,1.7322834645669292
2021.01.21.,1.584070796460177,3.263157894736842
2021.01.20.,-3.0508474576271185,10.3
2021.01.19.,3.914285714285714,7.8
2021.01.18.,3.422222222222222,2.3857142857142857
2021.01.17.,1.3888888888888888,-3.2857142857142856
2021.01.16.,1.1818181818181819,11.0
2021.01.15.,1.3867924528301887,4.4
2021.01.14.,1.6149425287356323,3.627450980392157
2021.01.13.,1.2311827956989247,3.422222222222222
2021.01.12.,1.3111888111888113,-6.451612903225806
2021.01.11.,1.3872832369942196,3.5
2021.01.10.,1.5245901639344261,-2.227272727272727
2021.01.09.,1.40625,-0.9166666666666666
2021.01.08.,1.1096774193548387,3.219298245614035
2021.01.07.,1.324742268041237,2.62
2021.01.06.,2.358490566037736,2.2448979591836733
2021.01.05.,1.644859813084112,2.7115384615384617
2021.01.04.,1.539568345323741,3.239130434782609
2021.01.03.,1.0833333333333333,1.235632183908046
2021.01.02.,1.173913043478261,2.1875
2021.01.01.,1.625,1.9230769230769231
2020.12.31.,1.4586776859504131,-4.921052631578948
2020.12.30.,1.4210526315789473,1.4375
2020.12.29.,1.6216216216216217,5.833333333333333
2020.12.28.,1.4390243902439024,1.875
2020.12.27.,1.2133333333333334,1.3814432989690721
2020.12.26.,1.1923076923076923,-8.5
2020.12.25.,1.4193548387096775,2.0
2020.12.24.,2.9565217391304346,2.2222222222222223
2020.12.23.,1.9887640449438202,1.9382716049382716
2020.12.22.,1.1746794871794872,-0.8920454545454546
2020.12.21.,1.2521891418563922,-0.9230769230769231
2020.12.20.,6.0,
2020.12.19.,1.0740740740740742,1.3125
2020.12.18.,1.3333333333333333,1.9318181818181819
2020.12.17.,1.1888111888111887,1.3203883495145632
2020.12.16.,1.4366197183098592,1.891304347826087
2020.12.15.,2.617021276595745,4.826086956521739
